#,Ticker,Price,DCF Price,DCF Diff %,Target Price,Target Diff %,# Targets,Consensus Rating,# Ratings,Expected Return,Financial Score,Piotroski Score,PE ratio,PEG ratio,Insiders Change,Institutional Change,Senate Change
348,JKHY,174.54,108.29,-38.0,-,-,0,33,1,-,3,5,32.0,7.30,42.11%,11.26%,-
349,FCX,36.46,14.89,-59.2,-,-,0,33,1,-,4,6,15.6,0.23,100.00%,-4.19%,-
350,FMC,56.71,12.16,-78.6,-,-,0,33,1,-,3,3,4.9,0.98,0.00%,-35.44%,-
351,DD,76.83,-7.21,-109.4,-,-,0,33,1,-,2,8,40.2,1.57,0.00%,-8.50%,-
352,EXC,39.78,-,-,-,-,0,33,1,-,3,7,16.4,0.16,40.90%,14.80%,-
353,ENPH,61.23,-,-,93.00,51.9,7,30,8,15.57,3,6,134.9,-2.56,100.00%,26.02%,-
354,BX,186.51,58.83,-68.5,165.50,-11.3,4,30,8,-3.38,3,5,64.4,5.84,16.12%,4.86%,100
355,KHC,29.82,67.11,125.1,35.00,17.4,4,29,5,5.04,2,7,26.3,-0.92,0.00%,-0.12%,-
356,HUBB,420.24,259.96,-38.1,452.50,7.7,4,29,5,2.23,3,4,30.0,11.36,36.87%,4.84%,-
357,JNJ,151.31,162.33,7.3,-,-,0,29,5,-,3,6,24.8,-0.41,0.00%,-0.13%,-
358,REGN,685.64,-,-,1180.00,72.1,4,25,2,18.02,4,4,15.9,2.20,100.00%,3.21%,0
359,CPB,38.82,70.97,82.8,52.00,34.0,2,25,2,8.49,3,4,21.0,-0.51,91.66%,-10.37%,-
360,EMN,93.43,68.57,-26.6,111.50,19.3,2,25,2,4.83,3,7,12.3,18.43,-,-92.07%,-
361,HIG,113.92,233.05,104.6,133.50,17.2,2,25,2,4.29,3,8,11.0,2.31,33.32%,4.03%,-
362,ALGN,227.46,190.04,-16.4,262.50,15.4,4,25,2,3.85,3,7,38.5,-56.88,58.30%,-6.21%,-
363,EXPE,170.70,-22.00,-112.9,190.00,11.3,5,25,6,2.83,3,8,20.8,0.54,12.10%,-20.95%,-
364,SWKS,89.84,150.62,67.7,95.00,5.7,2,25,2,1.44,3,6,24.1,-1.01,58.47%,18.18%,-
