#,Ticker,Price,DCF Price,DCF Diff %,Target Price,Target Diff %,# Targets,Consensus Rating,# Ratings,Expected Return,Financial Score,Piotroski Score,PE ratio,PEG ratio,Insiders Change,Institutional Change,Senate Change
465,NRG,99.89,58.62,-41.3,-,-,0,-,0,-,1,7,21.5,-0.40,-,-30.65%,-
466,CDW,194.86,111.43,-42.8,-,-,0,-,0,-,3,7,23.5,96.98,46.20%,-10.63%,-
467,FAST,74.65,42.62,-42.9,-,-,0,-,0,-,3,7,37.2,-75.11,32.93%,-2.55%,-
468,HAL,26.53,15.02,-43.4,-,-,0,-,0,-,3,6,9.3,-6.66,95.85%,3.34%,-
469,ANSS,347.50,194.70,-44.0,-,-,0,-,0,-,3,6,53.5,3.67,0.00%,-3.47%,-
470,NWS,31.88,17.15,-46.2,-,-,0,-,,-,3,9,32.4,0.36,45.06%,-77.91%,-
471,MSI,463.90,246.02,-47.0,-,-,0,-,0,-,3,7,49.6,7.51,17.71%,1.60%,-
472,NDAQ,81.54,42.19,-48.3,-,-,0,-,0,-,2,8,42.0,-10.57,7.41%,-1.84%,-
473,ERIE,397.71,205.30,-48.4,-,-,0,-,,-,3,7,32.9,5.75,100.00%,-362.16%,-
474,SYK,394.38,203.40,-48.4,-,-,0,-,0,-,3,8,50.2,-3.00,22.99%,-4.05%,-
475,DE,479.75,232.86,-51.5,-,-,0,-,0,-,2,6,18.7,-0.66,87.20%,1.59%,-
476,CPRT,57.27,27.47,-52.0,-,-,0,-,0,-,3,5,39.6,18.75,33.33%,-1.68%,-
477,HCA,327.56,146.53,-55.3,-,-,0,-,0,-,1,6,14.2,3.16,49.43%,11.19%,-
478,BRK-B,471.58,209.61,-55.5,-,-,0,-,,-,3,5,9.5,0.17,100.00%,4.47%,-
479,MSCI,600.06,265.88,-55.7,-,-,0,-,0,-,2,6,42.7,21.32,100.00%,-1.62%,-
480,J,138.24,59.95,-56.6,-,-,0,-,0,-,3,6,23.5,1.30,68.17%,-5.33%,-
481,VLTO,103.80,41.79,-59.7,-,-,0,-,0,-,3,6,31.9,17.05,0.00%,-,-
482,LII,615.62,240.20,-61.0,-,-,0,-,0,-,3,7,27.1,1.62,-,-82.00%,-
483,GWW,1121.46,414.28,-63.1,-,-,0,-,0,-,3,5,29.9,26.24,-,-19.29%,0
484,IDXX,415.44,152.44,-63.3,-,-,0,-,0,-,3,7,39.5,14.37,0.00%,-4.17%,-
485,MELI,1886.45,690.11,-63.4,-,-,0,-,0,-,2,5,66.6,28.36,-,-24.20%,100
486,COO,98.56,36.00,-63.5,-,-,0,-,0,-,3,7,50.5,6.13,40.42%,-13.20%,-
487,NSC,258.90,92.39,-64.3,-,-,0,-,0,-,3,5,22.7,0.72,-,1.48%,-
488,VTR,59.99,18.78,-68.7,-,-,0,-,0,-,2,4,-374.0,-6.50,99.19%,-16.01%,-
489,FITB,44.59,13.51,-69.7,-,-,0,-,0,-,2,8,13.6,-3.31,9.25%,-2.53%,-
490,RTX,125.81,36.24,-71.2,-,-,0,-,0,-,2,7,34.6,10.15,0.00%,3.94%,-
491,GLW,50.30,14.34,-71.5,-,-,0,-,0,-,2,8,84.9,-1.31,21.69%,-9.38%,-
492,ARE,96.85,26.10,-73.0,-,-,0,-,0,-,2,5,52.1,-1.02,100.00%,-21.97%,-
493,TPL,1270.33,337.93,-73.4,-,-,0,-,,-,3,6,65.1,210.89,90.06%,-20.28%,-
494,KEY,17.73,-2.51,-114.1,-,-,0,-,0,-,1,6,211.5,-1.45,0.00%,-8.80%,-
495,IRM,100.48,-26.08,-126.0,-,-,0,-,0,-,2,5,282.0,-5.24,34.16%,-1.34%,-
496,HES,145.08,-61.87,-142.7,-,-,0,-,0,-,1,6,16.9,-48.52,22.39%,-39.69%,-
497,WEC,98.54,-56.87,-157.7,-,-,0,-,0,-,2,5,24.1,-4.35,90.34%,1.32%,-
498,HST,16.68,-10.89,-165.3,-,-,0,-,0,-,2,7,16.3,-4.35,100.00%,22.94%,0
499,MS,138.75,-99.93,-172.0,-,-,0,-,0,-,1,5,16.4,0.79,39.55%,-7.19%,-
500,ADM,51.53,-45.53,-188.3,-,-,0,-,0,-,2,6,13.8,-0.47,43.49%,11.25%,-
501,PEG,82.10,-72.97,-188.9,-,-,0,-,0,-,2,5,20.1,0.88,0.00%,15.43%,-
502,GM,50.08,-45.46,-190.8,-,-,0,-,0,-,1,7,5.0,0.90,29.49%,-16.93%,-
503,NEE,71.19,-66.44,-193.3,-,-,0,-,0,-,2,5,21.0,2.17,100.00%,5.77%,-
504,ATO,141.96,-,-,-,-,0,-,0,-,3,7,20.6,-1.75,100.00%,-3.22%,100
505,AES,11.23,-,-,-,-,0,-,0,-,3,6,8.4,0.24,0.00%,-12.22%,-
506,UAL,108.56,-,-,-,-,0,-,0,-,3,6,11.5,0.87,100.00%,-27.70%,-
507,LNT,58.98,-,-,-,-,0,-,0,-,3,6,22.9,4.32,88.36%,6.88%,-
508,WRB,58.76,-,-,-,-,0,-,0,-,3,6,15.1,8.24,0.00%,-7.99%,-
509,AEE,93.22,-,-,-,-,0,-,0,-,3,5,21.9,-5.72,0.00%,3.11%,-
510,VTRS,11.30,-,-,-,-,0,-,0,-,3,5,-15.3,0.40,39.11%,76.07%,100
511,XEL,66.69,-,-,-,-,0,-,0,-,3,5,20.0,33.49,0.00%,-2.00%,-
512,AEP,98.01,-,-,-,-,0,-,0,-,3,5,19.9,-33.26,-,-2.87%,100
513,DG,72.05,-,-,-,-,0,-,0,-,3,4,11.9,-2.06,33.33%,-8.75%,-
514,RCL,267.82,-,-,-,-,0,-,0,-,2,7,25.1,2.59,0.00%,-3.30%,-
515,BAC,46.74,-,-,-,-,0,-,0,-,2,5,13.4,0.29,47.90%,3.41%,-
516,C,80.75,-,-,-,-,0,-,0,-,2,4,12.0,0.17,10.48%,1.45%,-
517,SRE,82.61,-,-,-,-,0,-,0,-,2,4,17.8,-6.47,96.41%,-8.51%,-
518,BA,172.92,-,-,-,-,0,-,0,-,2,2,-10.5,0.25,0.00%,12.45%,-
519,ES,57.57,-,-,-,-,0,-,0,-,1,4,-37.7,0.08,100.00%,1.99%,-
