symbol,name,sector,subSector,headQuarter,founded
VMC,Vulcan Materials Company,Basic Materials,Construction Materials,"Birmingham, Alabama",1909
BBY,Best Buy,Consumer Cyclical,Specialty Retail,"Richfield, Minnesota",1966
NTAP,NetApp,Technology,Computer Hardware,"San Jose, California",1992
AFL,Aflac,Financial Services,Insurance - Life,"Columbus, Georgia",1955
MCK,McKesson Corporation,Healthcare,Medical - Distribution,"Irving, Texas",1833
CCL,Carnival,Consumer Cyclical,Leisure,"Miami, Florida",1972
DHR,Danaher Corporation,Healthcare,Medical - Diagnostics & Research,"Washington, D.C.",1969
AES,AES Corporation,Utilities,Diversified Utilities,"Arlington, Virginia",1981
WM,Waste Management,Industrials,Waste Management,"Houston, Texas",1968
RF,Regions Financial Corporation,Financial Services,Banks - Regional,"Birmingham, Alabama",1971
COF,Capital One,Financial Services,Financial - Credit Services,"Tysons Corner, Virginia",1994
MCO,Moody's Corporation,Financial Services,Financial - Data & Stock Exchanges,"New York City, New York",1909
BEN,Franklin Resources,Financial Services,Asset Management,"San Mateo, California",1947
NTRS,Northern Trust,Financial Services,Asset Management,"Chicago, Illinois",1889
OMC,Omnicom Group,Communication Services,Advertising Agencies,"New York City, New York",1986
CINF,Cincinnati Financial,Financial Services,Insurance - Property & Casualty,"Fairfield, Ohio",1950
TFC,Truist Financial,Financial Services,Banks - Regional,"Charlotte, North Carolina",1872
FE,FirstEnergy,Utilities,Regulated Electric,"Akron, Ohio",1997
YUM,Yum! Brands,Consumer Cyclical,Restaurants,"Louisville, Kentucky",1997
HBAN,Huntington Bancshares,Financial Services,Banks - Regional,"Columbus, Ohio; Detroit, Michigan",1866
PGR,Progressive Corporation,Financial Services,Insurance - Property & Casualty,"Mayfield Village, Ohio",1937
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1954
EFX,Equifax,Industrials,Consulting Services,"Atlanta, Georgia",1899
SCHW,Charles Schwab Corporation,Financial Services,Financial - Capital Markets,"Westlake, Texas",1971
CAH,Cardinal Health,Healthcare,Medical - Distribution,"Dublin, Ohio",1971
AZO,AutoZone,Consumer Cyclical,Specialty Retail,"Memphis, Tennessee",1979
AON,Aon,Financial Services,Insurance - Brokers,"London, UK",1982
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,"Cincinnati, Ohio",1858
ALL,Allstate,Financial Services,Insurance - Property & Casualty,"Northbrook, Illinois",1931
DRI,Darden Restaurants,Consumer Cyclical,Restaurants,"Orlando, Florida",1938
L,Loews Corporation,Financial Services,Insurance - Property & Casualty,"New York City, New York",1959
BK,BNY Mellon,Financial Services,Asset Management,"New York City, New York",1784
GLW,Corning Inc.,Technology,"Hardware, Equipment & Parts","Corning, New York",1851
