ticker,signal,signal_date,tier,region,price_at_signal,future_price,stock_return,spy_return,alpha,net_alpha,round_trip_cost,beta,stock_return_eur,spy_return_eur,alpha_eur,beta_adj_alpha_eur,regional_benchmark,regional_benchmark_return,regional_alpha,suggested_horizon_days,horizon
BAC,H,2026-06-24,large,us,57.43695068359375,62.68020248413086,9.128708502338354,4.816977769165176,4.311730733173178,4.071730733173178,0.24,0.4933678371177739,7.449749186923427,3.20435498956535,4.245394197358077,5.868823496364023,SPY,4.816977769165176,4.311730733173178,90.0,30
BTC-USD,S,2026-06-24,mega,us,60995.1328125,64098.49609375,5.087886751209785,4.816977769165176,0.27090898204460956,-1.7290910179553904,2.0,1.0588574837184164,5.113003708969055,4.842029977221407,0.27097373174764794,-0.014015968800745071,SPY,4.816977769165176,0.27090898204460956,,30
ETH-USD,S,2026-06-24,large,us,1619.9249267578125,1860.1767578125,14.831047234734381,4.816977769165176,10.014069465569206,8.014069465569206,2.0,1.5690262354573898,14.85849289618988,4.842029977221407,10.016462918968472,7.261220829058344,SPY,4.816977769165176,10.014069465569206,,30
MSTR,H,2026-06-24,mid,us,94.12999725341797,96.8499984741211,2.8896221184202346,4.816977769165176,-1.927355650744941,-2.287355650744941,0.36,2.812196982239321,1.3066519551515832,3.20435498956535,-1.8977030344137669,-7.704625476527605,SPY,4.816977769165176,-1.927355650744941,90.0,30
9201.T,H,2026-06-24,mega,us,2774.5,3045.0,9.749504415209948,4.816977769165176,4.9325266460447725,4.752526646044773,0.18,,10.798546562021617,3.20435498956535,7.594191572456267,,SPY,4.816977769165176,4.9325266460447725,90.0,30
7012.T,B,2026-06-24,mega,us,3060.0,2868.5,-6.258169934640523,4.816977769165176,-11.075147703805698,-11.255147703805697,0.18,,-5.362137363178721,3.20435498956535,-8.56649235274407,,SPY,4.816977769165176,-11.075147703805698,45.0,30
NFLX,H,2026-06-24,large,us,71.83999633789062,73.69000244140625,2.5751756651188398,4.816977769165176,-2.241802104046336,-2.481802104046336,0.24,0.22076496556332598,0.9970433012635116,3.20435498956535,-2.2073116883018384,0.2896339823394454,SPY,4.816977769165176,-2.241802104046336,90.0,30
V,B,2026-06-24,mega,us,331.61395263671875,369.7830505371094,11.51010010191117,4.816977769165176,6.693122332745995,6.513122332745995,0.18,0.16312003213500428,9.794502768282488,3.20435498956535,6.590147778717138,9.271808279412626,SPY,4.816977769165176,6.693122332745995,90.0,30
NKE,H,2026-06-24,mid,us,41.38102722167969,41.559139251708984,0.43041954728466303,4.816977769165176,-4.386558221880513,-4.746558221880513,0.36,0.8129663819787628,-1.1147154658941116,3.20435498956535,-4.319070455459462,-3.7197483483366507,SPY,4.816977769165176,-4.386558221880513,,30
BKNG,B,2026-06-24,large,us,180.81332397460938,206.89035034179688,14.422071224601432,4.816977769165176,9.605093455436256,9.365093455436256,0.24,0.8576064952632667,12.66167283807147,3.20435498956535,9.457317848506118,9.913597185890968,SPY,4.816977769165176,9.605093455436256,90.0,30
SPCX,H,2026-06-24,mega,us,154.5399932861328,114.91999816894531,-25.63737339099696,4.816977769165176,-30.454351160162133,-30.634351160162133,0.18,,-26.781452033339125,3.20435498956535,-29.985807022904474,,SPY,4.816977769165176,-30.454351160162133,90.0,30
SAN.MC,H,2026-06-24,large,eu,11.862000465393066,12.760000228881836,7.570390560248666,4.816977769165176,2.7534127910834902,2.51341279108349,0.24,0.9487988842741937,7.570390560248663,3.427414438233223,4.14297612201544,4.318463565307719,EXS1.DE,5.562357596166077,2.008032964082589,,30
MCD,H,2026-06-24,large,us,271.947021484375,274.31024169921875,0.869000219948918,4.816977769165176,-3.9479775492162577,-4.187977549216257,0.24,0.10769865404282815,-0.6828824136868139,3.20435498956535,-3.887237403252164,-1.0279871331384227,SPY,4.816977769165176,-3.9479775492162577,90.0,30
UCG.MI,H,2026-06-24,large,eu,77.76000213623047,84.87999725341797,9.156372069941217,4.816977769165176,4.339394300776041,4.099394300776041,0.24,1.1876901820636276,9.15637206994122,3.427414438233223,5.728957631707997,5.085665591788498,EXS1.DE,5.562357596166077,3.5940144737751396,90.0,30
