BuySell,investmentPctRealized,profitPct,valuePctUnrealized,positionValue,name,ticker,Exchange,Sector,AssetClass
BUY,0.398861,0.361,0.390237,0.40030088821,Ping An Insurance,2318.HK,Hong Kong Exchanges,Financial,Stocks
BUY,0.396212,23.147701,0.47566,0.48792596908612,Zijin Mining,2899.HK,Hong Kong Exchanges,Basic Materials,Stocks
BUY,0.398861,6.039,0.412315,0.42294821579,China Oilfield,2883.HK,Hong Kong Exchanges,Basic Materials,Stocks
BUY,0.398861,2.353,0.397983,0.40824619933,AIA Group Ltd,1299.HK,Hong Kong Exchanges,Financial,Stocks
BUY,0.396846,-1.253329,0.382021,0.39187221399666,China Railway Group,0390.HK,Hong Kong Exchanges,Industrial Goods,Stocks
BUY,0.398861,-2.636,0.378584,0.38834702404,CK Hutchison Holdings Ltd,0001.HK,Hong Kong Exchanges,Services,Stocks
BUY,0.398861,4.849,0.407688,0.41820176989,Galaxy Entertainment Group Ltd,0027.HK,Hong Kong Exchanges,Consumer Goods,Stocks
BUY,0.398861,6.7,0.414885,0.425584687,China Everbright Environment Group Ltd,0257.HK,Hong Kong Exchanges,Utilities,Stocks
BUY,0.398861,0.347,0.390183,0.40024504767,BYD Electronic International,0285.HK,Hong Kong Exchanges,Industrial Goods,Stocks
BUY,0.398861,2.297,0.397765,0.40802283717,PetroChina Co Ltd,0857.HK,Hong Kong Exchanges,Basic Materials,Stocks
BUY,0.398861,-0.019,0.38876,0.39878521641,Brilliance China Automotive,1114.HK,Hong Kong Exchanges,Consumer Goods,Stocks
BUY,0.398861,7.154,0.416651,0.42739551594,Sino Biopharmaceutical Ltd,1177.HK,Hong Kong Exchanges,Consumer Goods,Stocks
BUY,0.398414,-5.354998,0.367599,0.37707893826828,Sands China Ltd,1928.HK,Hong Kong Exchanges,Consumer Goods,Stocks
BUY,0.398861,7.461,0.417844,0.42862001921,Shenzhou International Group,2313.HK,Hong Kong Exchanges,Consumer Goods,Stocks
BUY,0.398861,-0.418,0.387208,0.39719376102,Sunny Optical Technology Group,2382.HK,Hong Kong Exchanges,Industrial Goods,Stocks
BUY,0.396148,-4.858035,0.367428,0.3769029915082,Sinopec Engineering Group Co,2386.HK,Hong Kong Exchanges,Utilities,Stocks
BUY,0.398861,-1.477,0.38309,0.39296982303,Meituan Class B,3690.HK,Hong Kong Exchanges,Services,Stocks
